serum,dilution,pct_grn,pct_red
JF5A_Pos,10,0.192599,12.941032
JF5A_Pos,21.5443469,0.839041,25.014269
JF5A_Pos,46.41588834,1.005795,34.839806
JF5A_Pos,100,1.67583,42.106651
JF5A_Pos,215.443469,1.891497,38.642421
JF5A_Pos,464.1588834,1.832977,42.420336
JF5A_Pos,1000,2.055371,42.511628
JF5A_Pos,2154.43469,2.051591,47.593906
JF5A_Neg,10,1.22031,11.193192
JF5A_Neg,21.5443469,1.009872,24.368264
JF5A_Neg,46.41588834,1.19425,37.768706
JF5A_Neg,100,1.77785,42.036373
JF5A_Neg,215.443469,1.708242,43.723808
JF5A_Neg,464.1588834,1.709275,41.611177
JF5A_Neg,1000,1.572461,47.490928
JF5A_Neg,2154.43469,1.571836,46.297147
none,0,2.266195,44.536555
