serum,dilution,pct_bfp,pct_grn,pct_red
JF5A_Pos,20,0.08832,0.574078,0.13248
JF5A_Pos,43.0886938,0.177253,0.502216,0.029542
JF5A_Pos,92.83177667,1.553398,3.042071,0
JF5A_Pos,200,2.499427,6.466407,0.412749
JF5A_Pos,430.886938,4.021164,12.169312,0.714286
JF5A_Pos,928.3177667,4.379105,12.417892,0.625586
JF5A_Pos,2000,4.729412,13.505882,0.635294
JF5A_Pos,4308.86938,4.650591,13.804134,1.254921
JF5A_Pos,9283.177667,4.810726,16.272345,0.709779
JF5A_Pos,20000,4.733283,14.024543,0.450789
JF5A_Pos,43088.6938,5.058275,15.501166,1.165501
JF5A_Pos,92831.77667,4.709716,14.632701,0.888626
JF5A_Neg,20,3.162486,9.014904,0.290803
JF5A_Neg,43.0886938,3.134479,10.111223,0.808898
JF5A_Neg,92.83177667,5.219454,11.601423,0.54567
JF5A_Neg,200,5.960973,19.700615,0.588078
JF5A_Neg,430.886938,6.228905,18.01166,0.981896
JF5A_Neg,928.3177667,6.652283,15.929522,1.078749
JF5A_Neg,2000,6.067789,18.084854,1.066603
JF5A_Neg,4308.86938,5.718662,15.368905,0.765892
JF5A_Neg,9283.177667,6.130178,14.840237,0.757396
JF5A_Neg,20000,6.958393,18.483979,0.741272
JF5A_Neg,43088.6938,6.504904,18.224058,0.955085
JF5A_Neg,92831.77667,6.031582,16.619208,0.880145
none,0,6.005435,15.597826,0.788043
