serum,dilution,pct_bfp,pct_grn,pct_red
JF5A_Pos,10,0,0.110574,0.062198
JF5A_Pos,17.7827941,0.013057,0.15016,0
JF5A_Pos,31.6227766,0,0.190525,0
JF5A_Pos,56.23413252,0.012922,0.32306,0
JF5A_Pos,100,0.025793,0.59969,0.006448
JF5A_Pos,177.827941,0.031209,0.79271,0
JF5A_Pos,316.227766,0.047808,1.427401,0
JF5A_Pos,562.3413252,0.023162,1.308628,0
none,0,0.033582,1.094768,0
JF5A_Neg,10,0.029178,0.744037,0
JF5A_Neg,17.7827941,0.05071,0.811359,0
JF5A_Neg,31.6227766,0.032214,0.618517,0
JF5A_Neg,56.23413252,0.034381,0.825139,0
JF5A_Neg,100,0.017383,0.776452,0
JF5A_Neg,177.827941,0.025564,1.501885,0
JF5A_Neg,316.227766,0.056854,1.244473,0
JF5A_Neg,562.3413252,0.027982,1.378104,0
none,0,0.037078,1.371895,0
